PROBLEM_NAME,SIZE,TIME(microseconds),FLAG
../inputs/0_05fill_size9604.mtx,9604,3735,0
../inputs/0_11fill_size23052.mtx,23052,736861582,1
../inputs/0_1fill_size20466.mtx,20466,600398,0
../inputs/0_2fill_size1000.mtx,1000,3517,0
../inputs/0_64fill_size3562.mtx,3562,6420104,1
../inputs/1_07fill_size2003.mtx,2003,2388549,1
../inputs/1_0fill_size1806.mtx,1806,462499,0
../inputs/1_15fill_size1440.mtx,1440,69435,0
../inputs/2_03fill_size9000.mtx,9000,3080770,0
../inputs/3_18fill_size588.mtx,588,96804,0
../inputs/4_4fill_size420.mtx,420,1700,0
