PROBLEM_NAME,SIZE,TIME(microseconds),FLAG
../inputs/0_05fill_size9604.mtx,9604,11291,0
../inputs/0_11fill_size23052.mtx,23052,2176628859,1
../inputs/0_1fill_size20466.mtx,20466,1365501,0
../inputs/0_2fill_size1000.mtx,1000,37112,0
../inputs/0_55fill_size36000.mtx,36000,49647259,0
../inputs/0_64fill_size3562.mtx,3562,13371068,1
../inputs/1_07fill_size2003.mtx,2003,4635112,1
../inputs/1_0fill_size1806.mtx,1806,2826225,0
../inputs/1_15fill_size1440.mtx,1440,183138,0
../inputs/2_03fill_size9000.mtx,9000,2346144,0
../inputs/3_18fill_size588.mtx,588,355108,0
../inputs/4_4fill_size420.mtx,420,7697,0
